REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2017,40,1.27006,1.27875,3847,2492,X,4558,1075,876,12848,2224,1004733
National,X,2017,41,1.30714,1.33005,4119,2686,X,4463,1078,952,13298,2251,999809
National,X,2017,42,1.34389,1.40785,4414,2823,X,5006,1142,976,14361,2272,1020067
National,X,2017,43,1.52071,1.57112,5010,2927,X,5539,1326,1055,15857,2270,1009277
National,X,2017,44,1.74765,1.70044,5220,3301,X,6134,1368,1064,17087,2227,1004860
National,X,2017,45,1.88999,1.8565,6108,3591,X,6660,1520,1118,18997,2290,1023267
National,X,2017,46,2.06099,2.06203,6860,4224,X,7560,1791,1374,21809,2299,1057645
National,X,2017,47,2.28197,2.32136,6917,3820,X,5870,1695,1430,19732,2275,850019
National,X,2017,48,2.28786,2.24489,7016,5253,X,7477,2211,1834,23791,2283,1059785
National,X,2017,49,2.58516,2.48054,7202,5025,X,8457,2321,1845,24850,2275,1001799
National,X,2017,50,3.37109,3.19698,8290,6678,X,11263,2964,2337,31532,2266,986307
National,X,2017,51,4.7395,4.41748,10410,9822,X,14111,4566,3718,42627,2213,964963
National,X,2017,52,5.71576,5.43686,11323,11485,X,11521,5732,5073,45134,2134,830149
National,X,2018,1,5.75997,5.35633,9413,13406,X,11721,6879,5908,47327,2244,883572
National,X,2018,2,5.90718,5.52558,10064,15409,X,17365,7785,6216,56839,2259,1028652
National,X,2018,3,6.52457,6.34018,12010,16047,X,21918,7590,5587,63152,2289,996060
National,X,2018,4,7.17131,7.02012,13447,18399,X,30651,8940,6106,77543,2290,1104582
National,X,2018,5,7.52959,7.77763,14849,19111,X,37220,8940,5964,86084,2277,1106816
National,X,2018,6,7.39126,7.76598,15205,19556,X,38611,8621,5895,87888,2301,1131705
National,X,2018,7,6.45058,6.80932,13375,17231,X,32151,8086,5452,76295,2229,1120449
National,X,2018,8,4.96989,5.16333,10179,12481,X,20485,5814,4180,53139,2274,1029162
National,X,2018,9,3.69947,3.57595,7213,8502,X,13386,4120,2899,36120,2207,1010080
National,X,2018,10,3.19245,3.01545,6374,6499,X,10853,3137,2301,29164,2215,967152
National,X,2018,11,2.77608,2.73867,5591,5935,X,9460,2828,2142,25956,2199,947760
National,X,2018,12,2.49534,2.48692,5225,5421,X,8648,2566,1978,23838,2179,958535
National,X,2018,13,2.42157,2.37499,4727,4732,X,7231,2303,1751,20744,2139,873436
National,X,2018,14,2.0909,2.05115,4553,4461,X,6238,2159,1702,19113,2118,931818
National,X,2018,15,1.79983,1.82472,4129,3743,X,5491,1823,1448,16634,2072,911593
National,X,2018,16,1.6295,1.60029,3814,3205,X,5237,1422,1102,14780,2092,923581
National,X,2018,17,1.55644,1.55555,3703,3022,X,5299,1376,1096,14496,2061,931892
National,X,2018,18,1.53749,1.45442,3630,2593,X,4798,1219,988,13228,1991,909506
National,X,2018,19,1.30625,1.29003,3394,2182,X,4115,932,889,11512,1898,892383
National,X,2018,20,1.20146,1.23399,3326,2227,X,3740,898,795,10986,1933,890285
National,X,2018,21,1.23669,1.25313,3250,2041,X,3299,874,853,10317,1797,823301
National,X,2018,22,1.15992,1.25749,3114,1789,X,2899,830,731,9363,1680,744580
National,X,2018,23,0.984994,1.07926,2618,1712,X,2343,736,611,8020,1540,743105
National,X,2018,24,0.907878,1.02785,2117,1414,X,1946,598,580,6655,1381,647465
